userID,A,B
127,196551,450620
128,22827,7474
129,18670,13804
130,14486,2183
131,34880,66990
132,17600,9059
133,58899,20793
134,14985,13435
135,663,13963
136,255071,74623
137,10004,51190
138,34880,10685
139,3943,1537
140,22521,119292
141,9114,2569
142,31105,22171
143,39752,53887
144,62918,87473
145,5987,1396
146,171277,79453
147,196551,179720
148,206796,6837
149,132687,450620
150,480656,109752
151,12135,10182
152,74202,195972
153,90669,29584
154,34880,46834
155,18610,44677
156,21707,25084
157,12134,6923
158,9681,15626
159,17511,8011
160,6900,4497
161,980,1841
162,10044,3158
163,660,3302
164,4033,24926
165,70474,52278
166,13159,39668
167,37689,359370
168,36258,20405
169,6529,276026
170,20669,34446
171,31954,2351
172,9681,15626
173,37675,33854
174,13375,3221
175,10627,78493
176,7351,51916
177,676,1540
178,128841,677483
179,7500,8208
180,12478,15227
181,899,28346
182,19271,2420
183,164995,134353
184,17748,5176
185,1722,2112
186,14664,39439
187,11744,17474
188,34807,31114
189,33404,1631
190,23281,25759
191,3964,2990
192,12636,4029
193,32688,13226
194,10507,6965
195,17519,12500
196,20751,60790
197,3647,11294
198,47379,77679
199,6919,9677
200,7160,19427
201,3461,4404
202,1938,54782
203,23769,6048
204,999,5617
205,21681,20146
206,10256,514
207,15317,51405
208,11366,1841
209,35665,1828
210,10296,11247
211,263,478
212,21681,381
213,1072,24857
214,953,48738
215,21681,31364
216,4858,13255
217,19509,2860
218,15263,4512
219,14769,676
220,4378,2436
221,263,478
222,60616,17422
223,38,11934
224,27588,16293
225,2056,43974
226,8651,39919
227,10383,12077
228,7456,7014
229,7897,4327
230,2663,6049
231,19049,42624
232,16296,10042
233,2765,16407
234,58993,12412
235,7094,17415
236,7743,28304
237,13372,5343
238,4122,12463
239,13450,12118
240,8059,4435
241,3883,15227
242,2854,69022
243,13788,10149
244,19236,270
245,5096,2668
246,21681,4974
247,12146,13510
248,47109,20631
249,17494,8201
250,8233,6193
251,13002,21854
252,41484,13290
253,3418,7018
254,20669,2022
255,4013,28494
256,903,2484
257,17597,65099
258,6933,2687
259,22171,27361
260,13814,9905
261,10873,9117
262,11665,34580
263,17735,21854
264,26816,4174
265,29126,9345
266,15045,38867
267,8846,10685
268,10028,153086
269,1756,24063
270,2444,34313
271,58854,54253
272,795,53921
273,74307,48442
274,3882,6992
275,22310,18846
276,10399,39396
277,17607,68240
278,5399,2229
279,2444,27900
280,2758,3546
281,3351,12602
282,2986,7376
283,7948,36320
284,45,5740
285,12390,4251
286,15317,4012
287,30984,15108
288,18972,33396
289,3902,437
290,81442,14167
291,8950,2928
292,17597,11576
293,21681,15406
294,2915,1892
295,34049,2447
296,26980,224397
297,3148,3436
298,60707,1163
299,834,15946
300,35118,16917
301,26391,44368
302,32654,14967
303,2060,15856
304,78881,17118
305,35198,12703
306,14160,23536
307,2444,13485
308,4331,14181
309,12879,3546
310,57431,20793
311,43059,26608
312,87853,856
313,6558,11531
314,9925,59143
315,961,2512
316,17935,19653
317,3378,7900
318,1857,5439
319,82406,43172
320,6895,4016
321,8769,31416
322,19236,270
323,21681,111485
324,7155,14344
325,1846,478
326,5146,10590
327,2517,13572
328,17745,672
329,6973,67327
330,124792,29893
331,75944,18652
332,6469,8516
333,57441,2627
334,17337,1111
335,4088,12747
336,2765,3348
337,12131,7023
338,17077,15755
339,102132,37830
340,103,930
341,37993,42181
342,6735,6086
343,6935,44021
344,4751,21161
345,3098,2926
346,19637,20205
347,5401,13455
348,6790,3423
349,23289,32360
350,998,8691
351,12137,157401
352,372,1536
353,10878,5327
354,334801,20405
355,80934,20066
356,13712,4776
357,87032,19524
358,11214,16144
359,7491,9876
360,2097,6742
361,85464,3885
362,72603,22517
363,8233,1217
364,28161,43921
365,18117,77012
366,14208,7182
367,6004,19597
368,8363,10443
369,11326,9905
370,14664,6837
371,54267,20875
372,56849,366
373,18465,39668
374,10229,25084
375,22404,43257
376,35234,73473
377,71662,65729
378,345228,20056
379,33212,20056
380,254310,20056
381,35377,2710
382,32688,13804
383,174632,546326
384,53059,8844
385,92117,35492
386,38386,1425
387,2444,16482
388,85844,40512
389,9776,4104
390,1673,384
391,35274,9339
392,2444,16482
393,15551,6633
394,54591,59789
395,34058,8691
396,13450,12118
397,21808,84049
398,85844,40512
399,26790,9760
400,13561,25001
401,10403,6837
402,32399,19511
403,2378,21728
404,53652,25550
405,25569,15116
406,73284,68124
407,73284,49084
408,59145,13958
409,991,48241
410,36493,6936
411,54454,161471
412,43029,52546
413,116515,133225
414,20669,3546
415,15926,86757
416,74416,80430
417,82205,37738
418,6735,21976
419,2444,35817
420,4052,2771
421,59421,29572
422,216149,4056
423,10618,384
424,16765,3267
425,312300,15132
426,8672,18839
427,2815,3218
428,81946,328348
429,63201,22360
430,59472,39668
431,8586,20405
432,20651,29132
433,31545,25084
434,65511,102798
435,103579,13190
436,51842,204381
437,10521,18450
438,7955,86004
439,67260,12979
440,44993,4826
441,23285,23320
442,3943,14818
443,36339,7385
444,83827,68638
445,9968,8599
446,17641,44992
447,1225,17645
448,73280,15891
449,3918,6829
450,21697,37338
451,14967,29052
452,23511,3520
453,1781,1394
454,14171,22829
455,43475,73339
456,54344,13522
457,7710,61970
458,152804,905
459,43475,73339
460,1762,1394
461,76880,26113
462,63201,50802
463,4134,4743
464,408,2607
465,23257,8521
466,1781,1394
467,12815,30623
468,7070,36490
469,101297,40472
470,36857,212050
471,511,35474
472,22893,768575
473,36857,194137
474,34032,33947
475,15893,2296
476,15893,191576
477,24130,9731
478,45880,50796
479,45,28970
480,24130,27903
481,25569,7945
482,24520,34482
483,59472,497430
484,7284,111994
485,43865,6635
486,22171,30186
487,13897,2025
488,3461,43066
489,132641,17359
490,17269,19436
491,36857,179538
492,19932,29572
493,249997,15132
494,4195,685
495,247480,39668
496,68580,15891
497,8349,12802
498,216149,15132
499,62198,28164
500,4646,1372
501,387574,48425
502,5508,570
503,57663,39668
504,34212,256372
505,12931,92982
506,31778,42959
507,7973,3546
508,255071,179720
509,31916,3546
510,255071,72087
511,637,46
512,119554,6654
513,63201,5356
514,92642,83320
515,34880,81157
516,111718,303874
517,68645,65729
518,36315,11244
519,11602,32758
520,39369,120151
521,9198,55852
522,10882,155568
523,11130,38465
524,2125,50440
525,10353,2692
526,31545,1296
527,12622,43125
528,11130,38465
529,6745,27629
530,8653,51890
531,27529,11307
532,1815,3546
533,47969,237421
534,43415,27290
535,15664,23632
536,131281,559204
537,43643,20056
538,8246,62716
539,206527,109752
540,13858,106376
541,86179,17814
542,15224,71888
543,6745,27629
544,2016,5817
545,11041,95170
546,6994,54199
547,18922,195184
548,31545,25084
549,100786,39668
550,25039,45065
551,208499,117336
552,236,5545
553,21583,144390
554,52017,29572
555,90272,66684
556,41546,39668
557,10427,16248
558,18098,76299
559,69630,845
560,74007,27083
561,34880,7294
562,3721,6965
563,74333,9544
564,20401,15891
565,84835,35443
566,11525,35474
567,147584,9120
568,16273,55912
569,21065,6738
570,112819,10879
571,71210,8645
572,19975,6923
573,6410,3714
574,3879,39655
575,76172,41311
576,18098,76299
577,152915,3198
578,41291,36047
579,1790,1279
580,63614,74624
581,1790,114
582,13726,15539
583,14749,34431
584,2461,28583
585,1790,114
586,929,88
587,21093,2342
588,20531,14399
589,3631,463
590,228,7542
591,40570,76004
592,11940,17196
593,12776,28270
594,18789,7999
595,20451,1379
596,2016,28479
597,69346,6965
598,23121,6073
599,41418,8210
600,89,63216
601,287251,14336
602,6994,25550
603,24898,20701
604,7475,8539
605,8616,48283
606,2160,3259
607,61741,134090
608,46870,437
609,11334,8171
610,32027,186084
611,4885,53776
612,2512,976
613,72677,21196
614,126346,20405
615,25431,54193
616,22722,20405
617,41207,25423
618,629,19538
619,2016,8987
620,2000,38913
621,1491,1118
622,4878,2134
623,2031,6994
624,11041,19354
625,3703,2453
626,25831,3623
627,13277,18877
628,23207,1018
629,9003,9771
630,49438,135352
631,53022,77955
632,199,20185
633,45,4584
634,96554,102319
635,14461,100013
636,46870,437
637,15893,109752
638,48388,109752
639,48388,15150
640,22893,34312
641,22893,34312
642,728,12090
643,27485,924
644,55629,33253
645,234886,65449
646,15893,109752
647,39259,109752
648,15893,6889
649,29718,9683
650,3862,7459
651,12889,63352
652,7716,1278
653,168952,48728
654,2861,93432
655,5588,15466
656,4045,101905
657,5927,105868
658,3387,6220
659,7253,64225
660,11036,38187
661,14714,5029
662,35002,1394
663,23470,18313
664,1396,20173
665,4516,32522
666,393851,318645
667,31933,12050
668,36987,18171
669,69265,29887
670,93699,72439
671,56514,10990
672,6589,7049
673,103579,39438
674,14910,902
675,72865,27405
676,19344,8032
677,30115,8561
678,12412,33783
679,72967,32960
680,13277,3546
681,3395,46368
682,214622,407
683,74741,2233
684,14016,576
685,58468,12640
686,14189,221
687,7697,8639
688,53640,2924
689,56286,130057
690,62035,22517
691,27416,12400
692,244,78
693,2005,6955
694,100254,19414
695,4004,26141
696,23095,3551
697,23095,39401
698,7326,9032
699,11598,78689
700,177665,2471
701,112736,214087
702,37627,1018
703,1673,18965
704,8940,15020
705,10722,83029
706,46569,239118
707,152475,20405
708,59862,45532
709,15727,26216
710,1386,10557
711,45,11787
712,7828,32270
713,53654,38054
714,32160,9905
715,8107,3234
716,2342,27450
717,49181,29572
718,30547,15058
719,196551,138468
720,246897,152687
721,58379,74542
722,28834,13804
723,25308,15891
724,47982,4118
725,117981,30012
726,1225,17645
727,21681,9059
728,24217,21581
729,10292,12538
730,71735,64223
731,13196,207547
732,25111,24462
733,63729,53640
734,34425,5420
735,5976,101099
736,43938,14745
737,58696,24388
738,1809,41430
739,46863,5263
740,2793,26907
741,43118,5684
742,49741,22059
743,2793,22145
744,88670,13444
745,30284,33271
746,1177,18093
747,21532,48
748,63830,26437
749,213297,223175
750,242589,11876
751,15628,3623
752,95170,195610
753,36330,7600
754,40540,171569
755,41379,12965
756,18891,27703
757,14486,2183
758,54973,10353
759,33396,10402
760,9751,40726
761,5970,12208
762,7192,37086
763,6175,9059
764,34880,34489
765,37459,3167
766,12439,3756
767,42337,76004
768,12410,5494
769,30245,103368
770,660,8963
771,16405,46881
772,6710,2284
773,16697,3546
774,12552,6965
775,8742,25084
776,6735,35085
777,34457,2352
778,67462,10685
779,14749,25231
780,160,6331
781,3152,20837
782,11609,82920
783,20241,2471
784,43894,39827
785,4215,56240
786,99818,44265
787,4911,4383
788,3837,1278
789,9830,3546
790,1508,1232
791,3708,16244
792,2102,35368
793,8769,8208
794,15148,44669
795,37399,8902
796,53450,39668
797,1570,25385
798,20618,25636
799,6162,5704
800,29827,14915
801,237,24099
802,31069,2948
803,42337,76004
804,81121,7721
805,11517,16584
806,75919,5004
807,22125,18359
808,3514,24323
809,44361,9143
810,3321,12754
811,3886,10893
812,11661,3575
813,29522,4106
814,59060,12232
815,2139,2055
816,636,6122
817,35600,107016
818,13393,1228
819,81982,10097
820,130915,5524
821,23664,41709
822,34447,7805
823,870,17114
824,6697,668
825,52840,3851
826,261,12107
827,11307,6209
828,1162,11591
829,3956,12352
830,178794,27260
831,10179,4480
832,38073,29765
833,905,146
834,6708,29572
835,14148,16579
836,15485,24633
837,121208,95804
838,2444,36360
839,17757,26483
840,34880,2559
841,13024,437
842,81322,181172
843,10163,31473
844,2137,7778
845,11111,4323
846,12390,60991
847,26,3902
848,39437,25806
849,29350,1585
850,25822,33271
851,870,18771
852,4033,28450
853,21583,9410
854,186,10784
855,16731,1796
856,17757,24304
857,21926,37072
858,980,299
859,9230,6376
860,213,11682
861,11631,6625
862,30921,47805
863,2366,61397
864,17757,162183
865,12879,3546
866,3834,13243
867,175426,5336
868,70988,14446
869,4578,28450
870,186,10784
871,17664,50835
872,8396,9984
873,1368,510
874,9230,6376
875,136229,90305
876,37245,39742
877,2366,61397
878,34880,2559
879,2137,7778
880,11111,4323
881,10378,104
882,8877,9348
883,3321,12754
884,137960,43172
885,8620,78277
886,11263,668
887,37993,80858
888,870,17114
889,1224,8168
890,23766,3546
891,19345,713
892,13474,25943
893,50456,6630
894,59060,12232
895,3708,16244
896,10256,43566
897,6190,6820
898,74305,55238
899,2512,5064
900,3887,4557
901,3807,6331
902,14545,2076
903,36806,9474
904,360882,29572
905,6918,5954
906,32053,31575
907,16727,12533
908,12211,4539
909,19324,6656
910,22668,15023
911,6043,51607
912,22668,6779
913,8644,7741
914,31808,26912
915,11036,38187
916,2139,2055
917,1162,11591
918,297934,70505
919,3083,17680
920,149970,21917
921,8246,26982
922,10535,5491
923,10865,59143
924,33539,36916
925,17221,25751
926,37993,14949
927,2751,14476
928,1542,24983
929,1479,16082
930,29509,17301
931,56857,6965
932,83161,43172
933,120462,95246
934,12412,29572
935,386,10795
936,37900,40334
937,678,52969
938,17757,26483
939,12342,36320
940,9677,30171
941,15848,74623
942,66633,9030
943,3073,3995
944,15752,483
945,10916,17808
946,31437,299
947,28527,2076
948,37823,9729
949,22485,36534
950,20605,16625
951,9146,26378
952,39802,95424
953,7593,26857
954,449,9022
955,86887,77813
956,8566,20405
957,16632,56240
958,13838,20427
959,28087,15943
960,106588,78813
961,109617,75560
962,81528,67667
963,12690,84704
964,1381,10255
965,16139,1278
966,1790,31695
967,13846,37365
968,85387,7763
969,2475,8100
970,11630,11533
971,13838,20427
972,93566,34207
973,3282,3794
974,3649,32133
975,2557,3203
976,89720,10175
977,2444,36360
978,40567,7488
979,24130,25159
980,1861,742
981,8246,20304
982,17455,118244
983,71658,29572
984,81923,122580
985,200777,52951
986,22893,76004
987,14533,641
988,22844,43864
989,18637,4686
990,42337,2471
991,31755,39789
992,16835,27403
993,16727,7049
994,24774,12534
995,43339,61910
996,5161,1320
997,27961,47255
998,3897,12979
999,10423,23782
1000,7823,1816
1001,3249,5889
1002,12709,27403
1003,15543,4538
1004,3083,15054
1005,14749,7310
1006,2444,59967
1007,81175,79410
1008,344,2017
1009,2444,59967
1010,255071,114655
1011,203065,8325
1012,4409,3274
1013,28755,6245
1014,990,5562
1015,96920,50329
1016,56264,52765
1017,3834,13243
1018,1635,20405
1019,3205,6122
1020,39135,2975
1021,74741,27672
1022,3232,8027
1023,39620,70759
1024,122,1432
1025,37153,9380
1026,44751,47766
1027,1685,15970
1028,44944,36616
1029,8805,4555
1030,50828,189594
1031,75488,26303
1032,32894,6419
1033,3943,33453
1034,44944,39668
1035,3599,18942
1036,12986,45748
1037,46309,30171
1038,42337,7517
1039,1508,122580
1040,54423,206728
1041,7284,111994
1042,986,4298
1043,63201,37830
1044,14171,52546
1045,56445,13344
1046,26664,21480
1047,8181,3076
1048,9896,629
1049,13582,901
1050,74007,11307
1051,44507,87885
1052,95101,118838
1053,21607,101870
1054,5971,1206
1055,12067,17122
1056,10541,2019
1057,2444,35817
1058,53856,36944
1059,8246,23509
1060,12067,17122
1061,79507,282264
1062,35234,8637
1063,14498,6038
1064,4371,5426
1065,22701,54566
1066,18524,380411
1067,23828,7863
1068,6755,15172
1069,57389,4767
1070,53856,36944
1071,11607,22321
1072,27659,15891
1073,17558,46444
1074,28134,22887
1075,26276,9585
1076,46936,39280
1077,38939,23725
1078,2444,49713
1079,20021,12184
1080,26276,32263
1081,22893,109752
1082,63,5566
1083,103579,94965
1084,990,29518
1085,6729,30171
1086,4131,40825
1087,72865,9585
1088,172033,57835
1089,11477,22453
1090,16488,35413
1091,22893,1206
1092,102680,276346
1093,37506,23224
1094,21185,14449
1095,25482,66481
1096,12829,36995
1097,34880,11957
1098,18098,15898
1099,22400,38447
1100,1569,1587
1101,1017,40808
1102,399895,167016
1103,18026,11447
1104,14664,12579
1105,9819,55716
1106,13022,52786
1107,13368,2311
1108,31033,2431
1109,12412,3228
1110,4505,4732
1111,31351,29426
1112,25521,114320
1113,255794,46892
1114,14749,26523
1115,18025,4358
1116,28134,22887
1117,14264,10978
1118,6708,4925
1119,6663,10264
1120,5096,21821
1121,2375,9508
1122,25569,2935
1123,43203,4460
1124,16142,58273
1125,102061,38913
1126,34552,11233
1127,101824,31575
1128,5518,13984
1129,19911,17359
1130,35715,2761
1131,4131,40825
1132,48665,13321
1133,19322,6376
1134,1790,4753
1135,21681,19830
1136,81803,27871
1137,3126,14828
1138,42538,31975
1139,10403,20988
1140,1790,29859
1141,131281,351357
1142,4443,54317
1143,13864,38753
1144,11914,16790
1145,27666,25626
1146,209197,107439
1147,10028,68565
1148,289,48022
1149,1255,28682
1150,40335,4298
1151,196182,107138
1152,44615,27164
1153,1819,18682
1154,8415,22183
1155,838,13940
1156,35399,45577
1157,6573,54582
1158,1790,10393
1159,28568,12587
1160,363,39977
1161,58674,6867
1162,4161,6965
1163,2922,20185
1164,72247,5189
1165,1285,13026
1166,103579,26766
1167,22937,5637
1168,22893,65449
1169,67509,20551
1170,3021,384
1171,12829,4222
1172,8780,6779
1173,3741,8561
1174,10538,76596
1175,10214,3363
1176,95818,18161
1177,2031,5575
1178,23095,26141
1179,54591,61618
1180,31545,5883
1181,41173,52546
1182,5573,44862
1183,31545,20082
1184,57414,10516
1185,6765,7565
1186,39135,15891
1187,21583,4047
1188,65780,70949
1189,9405,79921
1190,11851,15891
1191,32725,25550
1192,45,28123
1193,3837,24207
1194,27408,5676
1195,19421,62167
1196,58735,10337
1197,24748,1493
1198,5553,25084
1199,19061,384
1200,396845,188930
1201,4624,2149
1202,60580,17457
1203,7139,21197
1204,7977,43879
1205,18562,1696
1206,31545,25084
1207,31545,25084
1208,1295,6176
1209,57310,3230
1210,84249,39722
1211,118719,8741
1212,15848,74623
1213,103,7513
1214,102029,20056
1215,47945,52969
1216,31545,25084
1217,6735,4949
1218,44507,87885
1219,13353,13788
1220,95170,22392
1221,67004,92996
1222,5362,20959
1223,42337,76004
1224,67302,54215
1225,16501,30171
1226,24130,153176
1227,67004,92996
1228,170408,444846
1229,48136,25959
1230,40609,29232
1231,60580,17457
1232,27247,35492
1233,9128,71291
1234,8769,3048
1235,14200,4612
1236,27496,111481
1237,7320,7222
1238,10962,41744
1239,29703,13759
1240,130306,12217
1241,165559,318369
1242,728,23544
1243,118882,4925
1244,370119,67614
1245,488,4392
1246,2922,20185
1247,58539,22304
1248,2063,3199
1249,24130,52546
1250,34880,36320
1251,616,6923
1252,3837,5572
1253,257724,15891
1254,10668,5834
1255,915,3991
1256,38813,14967
1257,88755,20056
1258,48741,7074
1259,36480,15475
1260,628,11095
1261,156616,101011
1262,40453,9410
1263,70347,45886
1264,14392,6965
1265,693,101506
1266,1906,2724
1267,724,8561
1268,70347,45886
1269,5946,55599
1270,33711,79428
1271,5239,20405
1272,74899,6965
1273,854,11264
1274,14937,9004
1275,24130,502010
1276,24256,11498
1277,2766,5087
1278,18750,49116
1279,470463,109752
1280,102907,27297
1281,357669,300612
1282,20839,15099
1283,6197,35956
1284,3089,4701
1285,26142,7539
1286,524,17175
1287,10074,17518
1288,1790,12649
1289,3627,9905
1290,21744,55971
1291,152589,1987
1292,93157,46065
1293,112374,46065
1294,28010,9030
1295,2312,12198
1296,53,10668
1297,26845,62570
1298,74036,18093
1299,16469,17909
1300,74036,18093
1301,70956,107896
1302,8769,5158
1303,15892,8121
1304,41841,8171
1305,1130,1663
1306,7776,5137
1307,60472,49465
1308,8447,21201
1309,20261,26907
1310,4725,2217
1311,11564,14329
1312,352,1775
1313,58170,3623
1314,26160,86925
1315,89051,15058
1316,59864,428402
1317,1790,7457
1318,9126,106021
1319,67244,13630
1320,9129,21557
1321,32592,23320
1322,23095,63475
1323,5101,24263
1324,71872,17754
1325,811,20405
1326,9835,39940
1327,15628,3348
1328,171208,22736
1329,12421,6965
1330,63201,19054
1331,25308,9120
1332,4709,7954
1333,1111,3086
1334,4085,15408
1335,67002,90208
1336,18713,5563
1337,21048,2069
1338,68580,15891
1339,22212,15891
1340,25125,33725
1341,71776,52546
1342,28757,15323
1343,31318,4526
1344,192677,2141
1345,237480,153204
1346,865,8747
1347,44701,62645
1348,15456,23578
1349,16161,80454
1350,20751,602
1351,118158,7110
1352,26074,11375
1353,84643,51598
1354,13132,28078
1355,127073,39598
1356,6143,1631
1357,194244,6396
1358,10464,29688
1359,61697,6965
1360,5911,20405
1361,216149,547766
1362,10541,720
1363,1819,27340
1364,17757,100819
1365,2444,24304
1366,37695,4449
1367,4680,1342
1368,1356,3722
1369,120243,19461
1370,65145,102704
1371,2000,40660
1372,13850,4883
1373,331424,15132
1374,47023,21987
1375,36339,75560
1376,33501,24836
1377,184527,13537
1378,31299,4232
1379,81923,52546
1380,15273,5294
1381,58547,3515
1382,156616,75964
1383,24330,142062
1384,36891,3304
1385,156851,15132
1386,16685,12404
1387,6735,2436
1388,1947,3887
1389,60107,14276
1390,19120,5490
1391,1559,3944
1392,71950,12979
1393,99168,21423
1394,21534,91660
1395,84945,984
1396,15694,28270
1397,7108,312
1398,53959,107787
1399,113124,9032
1400,56264,13958
1401,20554,28450
1402,399,29199
1403,13850,10455
1404,36339,75560
1405,59845,13958
1406,7281,38660
1407,24618,11979
1408,24607,112768
1409,189555,42589
1410,256439,222496
1411,5976,19830
1412,37520,283759
1413,12776,6965
1414,34677,94492
1415,33151,4526
1416,33662,143103
1417,1555,22995
1418,28997,97046
1419,9560,2680
1420,45121,43667
1421,6166,95804
1422,7584,2306
1423,5959,3414
1424,11000,3859
1425,27637,84477
1426,28603,73958
1427,13346,10711
1428,82214,109752
1429,312300,74623
1430,4659,237057
1431,3966,7049
1432,49131,19885
1433,25193,1629
1434,9037,1002
1435,35403,39668
1436,287993,100809
1437,39971,11068
1438,10464,5338
1439,1819,14765
1440,4659,237057
1441,10837,1254
1442,65110,23152
1443,18873,12402
1444,54182,94741
1445,37618,67026
1446,16096,38282
1447,197239,25159
1448,353804,109752
1449,433895,433287
1450,9443,148045
1451,32392,1841
1452,13557,3443
1453,22849,10609
1454,68223,25084
1455,5460,13491
1456,12006,1145
1457,3282,6419
1458,3837,5572
1459,18292,6729
1460,1684,3575
1461,16815,33218
1462,2005,1623
1463,227,6567
1464,19724,10031
1465,4891,20405
1466,9443,10003
1467,100283,96068
1468,22649,16318
1469,13206,38555
1470,7443,410
1471,1966,9032
1472,3531,8138
1473,46367,5949
1474,7328,2965
1475,29905,27169
1476,8769,7273
1477,31103,46635
1478,22043,30651
1479,55346,27132
1480,12412,24451
1481,8246,7385
1482,6175,9059
1483,1652,4790
1484,234289,16508
1485,9825,37473
1486,130381,15891
1487,34844,7086
1488,31683,59564
1489,17877,2436
1490,4385,8493
1491,2390,3662
1492,9526,8148
1493,2000,53873
1494,55992,53000
1495,6718,9030
1496,19735,37620
1497,42933,83757
1498,17949,2197
1499,7334,138941
1500,26488,1629
1501,76854,109655
1502,32688,38719
1503,103579,73512
1504,6472,42719
1505,25364,40203
1506,2895,15216
1507,2375,5536
1508,136397,15891
1509,13604,6601
1510,19981,64745
1511,34880,102787
1512,2000,83788
1513,25850,14476
1514,21531,26911
1515,795,7054
1516,6472,42719
1517,11746,70400
1518,20982,58682
1519,66288,45573
1520,57788,5491
1521,32688,38719
1522,26527,27481
1523,396845,188930
1524,28518,26141
1525,25856,6965
1526,82199,233519
1527,26071,4663
1528,24130,118559
1529,34844,50153
1530,30238,83308
1531,15886,7912
1532,44348,33411
1533,81175,20636
1534,83688,50872
1535,62194,5335
1536,25353,16765
1537,9165,1540
1538,4796,10704
1539,3572,3048
1540,90689,16731
1541,13998,20405
1542,3909,9984
1543,21830,17924
1544,22339,56954
1545,15800,4071
1546,6919,98398
1547,36078,15132
1548,22182,384
1549,8966,2347
1550,1735,743
1551,67976,3905
1552,79283,83567
1553,46907,54996
1554,30825,21544
1555,11263,2727
1556,11396,2444
1557,391,4974
1558,277436,31730
1559,2005,36200
1560,2366,2252
1561,222631,17133
1562,13811,37699
1563,99511,294501
1564,21272,7565
1565,55920,2216
1566,3756,5365
1567,16741,3804
1568,13707,25869
1569,10123,35815
1570,16268,2982
1571,20654,7177
1572,24771,23822
1573,19789,224
1574,81536,6892
1575,6472,98398
1576,34880,24633
1577,2811,3512
1578,7007,12908
1579,2897,16743
1580,1356,2051
1581,255071,469615
1582,9390,21401
1583,7582,14276
1584,2811,3512
1585,255071,34973
1586,4403,1142
1587,22893,107439
1588,3340,1892
1589,1839,8926
1590,9324,9476
1591,556,29572
1592,21681,11292
1593,256,5320
1594,4805,6561
1595,1789,7527
1596,24130,2975
1597,32726,232817
1598,12348,35492
1599,1306,3847
1600,9614,906
1601,31545,21724
1602,7684,2953
1603,71872,83567
1604,29709,2771
1605,50119,14745
1606,31545,25084
1607,11412,907
1608,525,2763
1609,37878,118630
1610,51569,45959
1611,1652,68190
1612,24176,39833
1613,474,8798
1614,16737,38252
1615,1475,1657
1616,14905,15132
1617,31545,60624
1618,31545,25084
1619,583,46188
1620,17076,38352
1621,78808,28397
1622,75955,37830
1623,151167,21479
1624,14194,12538
1625,23416,2863
1626,57481,15662
1627,12412,22995
1628,96593,3546
1629,12310,82166
1630,48647,127228
1631,22893,463116
1632,33966,27926
1633,15600,4925
1634,43497,25959
1635,55032,2923
1636,12412,22995
1637,556773,142448
1638,9595,8907
1639,5607,8561
1640,4116,2426
1641,56832,84
1642,32383,10145
1643,23642,67830
1644,3224,47837
1645,12254,2241
1646,72643,25084
1647,26043,37830
1648,46367,22568
1649,31275,200482
1650,22893,6396
1651,50276,52305
1652,795,40070
1653,3574,262
1654,10635,13958
1655,21681,21899
1656,33940,8758
1657,4432,40472
1658,34880,4963
1659,14421,6531
1660,2793,14885
1661,95884,20056
1662,26594,17196
1663,14601,715
1664,17162,286260
1665,21681,8691
1666,13536,1270
1667,97853,16614
1668,21681,1396
1669,17162,52717
1670,13772,76953
1671,20601,42637
1672,6032,27869
1673,37695,6845
1674,37,2361
1675,2512,906
1676,35028,16344
1677,29588,18127
1678,18507,34612
1679,3248,28219
1680,433895,109752
1681,71682,5659
